"ID","age","momID","dadID","RRS","HvsW","sex","gen","alive","gendead","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,23,0,0,1,1,1,0,0,1,2,3,16,10,3,2,2,10,1,2,1,4,1,4,20,3,1,1,1,3,1,2,11,13,1,1,1,6,3,14,2,2,6,3,1,13,2,1,1,15,13,1,9,6,3,1,15,1,2,14,5,1,1,25,10,6,1,1,1,10,1,1,6,7,2,3,1,9,1,1,5,2,5,2,8,6,9,18,7,4,6,5,2,1,15,7,1,2,1,1,23,6,10,4,5,17,10,23,20,7
30,23,0,0,1,1,1,0,0,1,10,9,1,2,1,1,10,1,4,1,2,1,11,1,34,5,2,1,5,1,1,2,1,21,2,3,3,7,2,7,2,4,8,3,3,3,12,3,1,1,9,2,9,3,1,1,4,2,2,6,5,2,11,15,22,1,2,15,3,2,2,1,3,1,3,3,21,1,2,3,2,1,10,1,4,3,2,18,2,1,10,14,8,1,2,3,8,5,1,3,10,1,1,16,3,28,2,8,4,5
46,23,0,0,1,1,0,0,0,1,1,15,1,1,11,1,1,1,6,1,3,1,2,14,13,6,11,5,6,11,2,5,1,1,1,2,1,1,5,3,5,1,1,3,5,3,1,1,3,1,1,9,14,9,1,15,8,12,7,11,4,1,1,1,4,6,3,1,3,7,1,13,13,1,4,6,14,1,5,5,3,2,14,4,11,1,2,5,19,1,3,3,1,1,1,22,4,17,7,1,1,2,15,2,8,1,11,16,7,7
86,23,0,0,1,1,0,0,0,1,2,3,1,3,2,1,2,5,14,11,1,3,19,7,1,5,7,1,2,21,16,1,5,10,1,6,11,6,1,3,1,2,4,3,4,10,1,15,12,3,6,6,6,6,18,25,10,8,15,1,1,1,2,13,1,2,3,1,6,1,7,2,1,10,1,4,4,2,13,6,6,5,4,4,7,26,2,9,7,6,1,1,1,3,1,2,1,8,2,2,14,2,13,21,12,4,2,3,9,3
122,23,0,0,1,1,0,0,0,1,4,6,15,4,7,6,1,1,1,4,1,5,1,2,3,1,9,4,5,25,8,14,1,1,1,1,1,13,5,1,4,27,1,1,10,3,2,1,17,1,23,4,27,5,10,5,10,2,9,1,4,2,2,1,2,3,5,1,19,3,17,2,4,18,2,9,11,15,1,2,2,10,4,3,17,2,5,8,1,21,1,4,3,2,1,5,8,3,6,1,2,1,1,4,9,7,10,4,9,3
147,23,0,0,1,1,1,0,0,1,4,4,6,1,7,2,1,15,5,2,15,1,1,2,15,2,24,1,7,2,8,1,1,9,11,4,5,2,9,2,2,2,2,2,2,6,10,5,1,3,9,6,1,1,5,23,2,2,1,1,12,2,21,3,32,23,4,2,2,21,2,2,1,9,15,16,3,7,13,2,7,14,2,1,2,3,1,3,1,19,7,1,3,3,2,3,10,2,11,10,15,7,9,2,1,2,2,4,2,1
173,23,0,0,1,1,0,0,0,1,2,9,22,5,1,15,7,10,1,1,4,1,4,1,1,5,11,6,1,1,1,1,1,6,3,15,8,5,16,5,3,2,1,1,1,1,1,1,1,1,2,13,3,1,1,3,5,3,2,11,1,4,2,14,8,20,1,6,2,1,8,2,3,3,22,10,1,1,4,5,18,6,3,4,1,11,6,1,1,4,1,1,6,9,3,6,9,3,6,4,3,3,3,1,8,26,1,3,7,1
196,23,0,0,1,1,1,0,0,1,1,5,10,4,8,1,31,1,7,1,5,1,1,3,1,22,15,10,7,6,2,6,2,4,1,7,7,1,2,7,15,1,2,11,1,1,3,5,7,4,9,1,2,5,12,10,15,2,8,3,23,1,1,4,1,1,9,2,6,10,8,25,1,1,7,5,2,5,1,1,9,3,24,15,2,1,2,1,2,3,3,1,1,5,5,1,14,26,1,5,5,2,2,1,7,10,2,1,1,5
213,23,0,0,1,1,1,0,0,1,10,7,3,1,2,12,10,5,6,5,2,7,2,2,2,1,1,1,2,2,4,7,7,3,2,5,1,18,7,16,4,21,2,1,3,6,24,1,8,4,2,8,2,4,1,24,1,4,1,1,2,3,4,1,7,2,1,2,5,17,15,3,13,9,1,5,7,2,1,5,17,8,2,1,8,11,1,6,2,1,1,11,3,9,2,20,4,2,13,1,3,3,1,1,21,1,1,10,8,3
229,23,0,0,1,1,1,0,0,1,3,1,15,19,12,10,1,9,2,2,33,3,14,1,3,12,1,4,14,1,3,2,2,3,7,9,1,25,3,4,2,1,17,20,9,2,25,4,10,6,12,4,1,1,3,1,3,4,1,6,2,2,14,1,3,9,2,2,1,1,4,11,3,2,13,1,6,18,1,9,1,15,15,3,2,1,6,1,3,1,5,7,6,3,3,3,11,2,18,10,2,5,4,1,7,4,27,1,2,21
